symbol,timestamp,tradingDay,open,high,low,close,volume
"IBM","2020-05-01T15:00:00-04:00","2020-05-01","120.2473","120.573","119.7836","120.2177","740834"
"IBM","2020-05-04T09:00:00-04:00","2020-05-04","119.2211","119.3296","117.811","118.3725","400177"
"IBM","2020-05-04T10:00:00-04:00","2020-05-04","118.3725","118.8511","117.9186","118.1949","544421"
"IBM","2020-05-04T11:00:00-04:00","2020-05-04","118.1949","118.9152","118.1455","118.7178","355892"
"IBM","2020-05-04T12:00:00-04:00","2020-05-04","118.7277","118.9152","118.2837","118.4021","286508"
"IBM","2020-05-04T13:00:00-04:00","2020-05-04","118.4021","118.8955","118.2985","118.7476","439482"
"IBM","2020-05-04T14:00:00-04:00","2020-05-04","118.7771","119.4086","118.7327","119.3395","381276"
"IBM","2020-05-04T15:00:00-04:00","2020-05-04","119.3296","120.3559","119.2432","120.0697","481841"
"IBM","2020-05-05T09:00:00-04:00","2020-05-05","121.6387","122.5424","121.2637","122.5424","302569"
"IBM","2020-05-05T10:00:00-04:00","2020-05-05","122.4917","122.6748","121.2538","121.9742","581010"
"IBM","2020-05-05T11:00:00-04:00","2020-05-05","121.9784","122.438","121.6683","122.1814","400832"
"IBM","2020-05-05T12:00:00-04:00","2020-05-05","122.1715","122.3294","121.5301","121.6633","414758"
"IBM","2020-05-05T13:00:00-04:00","2020-05-05","121.6683","122.211","121.4512","122.0729","246343"
"IBM","2020-05-05T14:00:00-04:00","2020-05-05","122.0777","122.4084","121.984","122.3985","330239"
"IBM","2020-05-05T15:00:00-04:00","2020-05-05","122.3886","122.3886","120.8493","120.9578","575981"
"IBM","2020-05-06T09:00:00-04:00","2020-05-06","121.6091","122.4084","121.0072","121.1453","284332"
"IBM","2020-05-06T10:00:00-04:00","2020-05-06","121.1897","121.7571","120.7901","121.3377","331177"
"IBM","2020-05-06T11:00:00-04:00","2020-05-06","121.3476","121.6189","121.0565","121.2045","393727"
"IBM","2020-05-06T12:00:00-04:00","2020-05-06","121.2045","122.0235","121.1848","121.8459","281344"
"IBM","2020-05-06T13:00:00-04:00","2020-05-06","121.8656","122.2209","121.6929","121.8706","243376"
"IBM","2020-05-06T14:00:00-04:00","2020-05-06","121.8656","122.1419","121.3624","121.9347","272820"
"IBM","2020-05-06T15:00:00-04:00","2020-05-06","121.9396","122.305","121.2538","121.5301","716172"
"IBM","2020-05-07T09:00:00-04:00","2020-05-07","122.98","123.26","121.91","122.1","436659"
"IBM","2020-05-07T10:00:00-04:00","2020-05-07","122.08","122.49","121.48","121.63","414770"
"IBM","2020-05-07T11:00:00-04:00","2020-05-07","121.64","122.85","121.55","122.689","302793"
"IBM","2020-05-07T12:00:00-04:00","2020-05-07","122.695","123.05","122.05","122.35","304801"
"IBM","2020-05-07T13:00:00-04:00","2020-05-07","122.37","122.5809","121.64","121.65","308361"
