symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,12/05/2020 13:40,12/05/2020,139572,139572,139443,1394498,4799
GOOG,12/05/2020 13:45,12/05/2020,1394661,13964,1394,139591,5726
GOOG,12/05/2020 13:50,12/05/2020,1395707,139821,139511,139821,4116
GOOG,12/05/2020 13:55,12/05/2020,1398811,139916,1397599,139914,3144
GOOG,12/05/2020 14:00,12/05/2020,139847,139898,13968,1397035,8259
GOOG,12/05/2020 14:05,12/05/2020,139695,139792,139596,1396196,3903
GOOG,12/05/2020 14:10,12/05/2020,1396105,1396105,139451,139463,5244
GOOG,12/05/2020 14:15,12/05/2020,139451,139524,139259,1393351,4266
GOOG,12/05/2020 14:20,12/05/2020,1394025,139649,1393906,139649,3033
GOOG,12/05/2020 14:25,12/05/2020,139628,139686,139522,139658,4666
GOOG,12/05/2020 14:30,12/05/2020,139658,139663,1394614,139657,5486
GOOG,12/05/2020 14:35,12/05/2020,139573,139745,139553,139716,5849
GOOG,12/05/2020 14:40,12/05/2020,1396993,1396993,139263,1395306,6293
GOOG,12/05/2020 14:45,12/05/2020,139566,1397107,139533,139566,3695
GOOG,12/05/2020 14:50,12/05/2020,139587,139761,139525,139656,3935
GOOG,12/05/2020 14:55,12/05/2020,139655,1397657,1395781,1396941,5366
GOOG,12/05/2020 15:00,12/05/2020,139657,13978,139581,139664,4106
GOOG,12/05/2020 15:05,12/05/2020,1397108,139733,1395705,1396755,1885
GOOG,12/05/2020 15:10,12/05/2020,139628,139657,139351,139375,5426
GOOG,12/05/2020 15:15,12/05/2020,139382,139596,139197,1392,4217
GOOG,12/05/2020 15:20,12/05/2020,1391246,1392715,1388714,1389203,9037
GOOG,12/05/2020 15:25,12/05/2020,138895,139164,138845,138997,8385
GOOG,12/05/2020 15:30,12/05/2020,1390806,1392,1389245,139014,6622
GOOG,12/05/2020 15:35,12/05/2020,1389833,1390455,138555,138786,8783
GOOG,12/05/2020 15:40,12/05/2020,138747,138747,1383461,138555,9906
GOOG,12/05/2020 15:45,12/05/2020,138535,138588,1382,1382,13029
GOOG,12/05/2020 15:50,12/05/2020,138201,138247,137716,137723,30226
GOOG,12/05/2020 15:55,12/05/2020,1377715,138028,137477,137477,49403
GOOG,12/05/2020 16:00,12/05/2020,137574,137574,137574,137574,102725
GOOG,13/05/2020 09:30,13/05/2020,137705,138381,1372,137226,42501
GOOG,13/05/2020 09:35,13/05/2020,137258,137258,13658,1367065,55995
GOOG,13/05/2020 09:40,13/05/2020,1367,1367634,13642,136481,28842
GOOG,13/05/2020 09:45,13/05/2020,136453,137566,1363,1373515,24780
GOOG,13/05/2020 09:50,13/05/2020,137315,1374978,13715,1374975,12836
GOOG,13/05/2020 09:55,13/05/2020,137442,137636,1371338,137525,15052
GOOG,13/05/2020 10:00,13/05/2020,137462,138091,1374,13799,9762
GOOG,13/05/2020 10:05,13/05/2020,137982,1380585,1379,137924,9234
GOOG,13/05/2020 10:10,13/05/2020,1379976,13811,137928,137989,8072
GOOG,13/05/2020 10:15,13/05/2020,137951,138116,137951,137994,8706
GOOG,13/05/2020 10:20,13/05/2020,13804,138044,137587,137635,7208
GOOG,13/05/2020 10:25,13/05/2020,137641,1383315,1376,138192,11113
GOOG,13/05/2020 10:30,13/05/2020,138207,138432,138192,138378,9248
GOOG,13/05/2020 10:35,13/05/2020,1383925,1385482,138305,138358,5233
GOOG,13/05/2020 10:40,13/05/2020,1383265,1384,138231,1382618,2740
GOOG,13/05/2020 10:45,13/05/2020,138226,138226,137786,137786,7116
